"","gene_id","gene_name","seq_name","gene_biotype","description"
"19","ENSMUSG00000104123","Gm37483","1","TEC","predicted gene, 37483 [Source:MGI Symbol;Acc:MGI:5610711]"
"20","ENSMUSG00000025902","Sox17","1","protein_coding","SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]"
"21","ENSMUSG00000104238","Gm37587","1","lncRNA","predicted gene, 37587 [Source:MGI Symbol;Acc:MGI:5610815]"
"22","ENSMUSG00000102269","Gm7357","1","processed_pseudogene","predicted gene 7357 [Source:MGI Symbol;Acc:MGI:3643257]"
"23","ENSMUSG00000118917","Gm22307","1","snRNA","predicted gene, 22307 [Source:MGI Symbol;Acc:MGI:5452084]"
"24","ENSMUSG00000103003","Gm38076","1","processed_pseudogene","predicted gene, 38076 [Source:MGI Symbol;Acc:MGI:5611304]"
"25","ENSMUSG00000104328","Gm37323","1","lncRNA","predicted gene, 37323 [Source:MGI Symbol;Acc:MGI:5610551]"
"26","ENSMUSG00000102735","Gm7369","1","processed_pseudogene","predicted gene 7369 [Source:MGI Symbol;Acc:MGI:3643485]"
"27","ENSMUSG00000098104","Gm6085","1","processed_pseudogene","predicted gene 6085 [Source:MGI Symbol;Acc:MGI:3646770]"
"28","ENSMUSG00000102175","Gm6119","1","processed_pseudogene","predicted gene 6119 [Source:MGI Symbol;Acc:MGI:3644547]"
"29","ENSMUSG00002075947","Gm56275","1","snRNA","predicted gene, 56275 [Source:MGI Symbol;Acc:MGI:6849008]"
"30","ENSMUSG00000103265","Gm2053","1","processed_pseudogene","predicted gene 2053 [Source:MGI Symbol;Acc:MGI:3780221]"
"31","ENSMUSG00000103922","Gm6123","1","processed_pseudogene","predicted gene 6123 [Source:MGI Symbol;Acc:MGI:3647047]"
"32","ENSMUSG00000033845","Mrpl15","1","protein_coding","mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]"
"33","ENSMUSG00000102275","Gm37144","1","TEC","predicted gene, 37144 [Source:MGI Symbol;Acc:MGI:5610372]"
"34","ENSMUSG00000120403","A930006A01Rik","1","lncRNA","RIKEN cDNA A930006A01 gene [Source:MGI Symbol;Acc:MGI:1925192]"
"35","ENSMUSG00000025903","Lypla1","1","protein_coding","lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]"
"36","ENSMUSG00000104217","Gm37988","1","protein_coding","predicted gene, 37988 [Source:MGI Symbol;Acc:MGI:5611216]"
"37","ENSMUSG00000033813","Tcea1","1","protein_coding","transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]"
"38","ENSMUSG00000062588","Gm6104","1","processed_pseudogene","predicted gene 6104 [Source:MGI Symbol;Acc:MGI:3648587]"
"39","ENSMUSG00000103280","Gm37277","1","TEC","predicted gene, 37277 [Source:MGI Symbol;Acc:MGI:5610505]"
"40","ENSMUSG00000002459","Rgs20","1","protein_coding","regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]"
"41","ENSMUSG00000091305","Gm17100","1","processed_pseudogene","predicted gene 17100 [Source:MGI Symbol;Acc:MGI:4937927]"
"42","ENSMUSG00000102653","Gm37079","1","TEC","predicted gene, 37079 [Source:MGI Symbol;Acc:MGI:5610307]"
"43","ENSMUSG00000085623","Gm16041","1","lncRNA","predicted gene 16041 [Source:MGI Symbol;Acc:MGI:3801909]"
"44","ENSMUSG00000091665","Gm17101","1","processed_pseudogene","predicted gene 17101 [Source:MGI Symbol;Acc:MGI:4937928]"
"45","ENSMUSG00000033793","Atp6v1h","1","protein_coding","ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]"
"46","ENSMUSG00000104352","Gm7182","1","processed_pseudogene","predicted gene 7182 [Source:MGI Symbol;Acc:MGI:3644877]"
"47","ENSMUSG00000104046","Gm37567","1","TEC","predicted gene, 37567 [Source:MGI Symbol;Acc:MGI:5610795]"
"48","ENSMUSG00000102907","Gm38264","1","TEC","predicted gene, 38264 [Source:MGI Symbol;Acc:MGI:5611492]"
"49","ENSMUSG00000025905","Oprk1","1","protein_coding","opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]"
"50","ENSMUSG00000103936","Gm36965","1","processed_pseudogene","predicted gene, 36965 [Source:MGI Symbol;Acc:MGI:5610193]"
"51","ENSMUSG00002076544","Gm56304","1","miRNA","predicted gene, 56304 [Source:MGI Symbol;Acc:MGI:6849066]"
"52","ENSMUSG00000103519","Gm37429","1","TEC","predicted gene, 37429 [Source:MGI Symbol;Acc:MGI:5610657]"
"53","ENSMUSG00000033774","Npbwr1","1","protein_coding","neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989]"
"54","ENSMUSG00000103090","Gm19214","1","processed_pseudogene","predicted gene, 19214 [Source:MGI Symbol;Acc:MGI:5011399]"
"55","ENSMUSG00000090031","4732440D04Rik","1","lncRNA","RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]"
"56","ENSMUSG00000025907","Rb1cc1","1","protein_coding","RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]"
"57","ENSMUSG00000087247","Alkal1","1","protein_coding","ALK and LTK ligand 1 [Source:MGI Symbol;Acc:MGI:3645495]"
"58","ENSMUSG00000103355","Gm2147","1","processed_pseudogene","predicted gene 2147 [Source:MGI Symbol;Acc:MGI:3780316]"
"59","ENSMUSG00000102706","Gm7417","1","processed_pseudogene","predicted gene 7417 [Source:MGI Symbol;Acc:MGI:3647903]"
"60","ENSMUSG00000103845","Gm19026","1","processed_pseudogene","predicted gene, 19026 [Source:MGI Symbol;Acc:MGI:5011211]"
"61","ENSMUSG00000033740","St18","1","protein_coding","suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]"
"62","ENSMUSG00000103329","Gm42492","1","TEC","predicted gene 42492 [Source:MGI Symbol;Acc:MGI:5662629]"
"63","ENSMUSG00000104385","Gm7449","1","processed_pseudogene","predicted gene 7449 [Source:MGI Symbol;Acc:MGI:3647895]"
"64","ENSMUSG00000102135","Gm37108","1","processed_pseudogene","predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]"
"65","ENSMUSG00000103282","Gm37275","1","processed_pseudogene","predicted gene, 37275 [Source:MGI Symbol;Acc:MGI:5610503]"
"66","ENSMUSG00000102534","Gm37225","1","processed_pseudogene","predicted gene, 37225 [Source:MGI Symbol;Acc:MGI:5610453]"
"67","ENSMUSG00000102213","Gm37489","1","processed_pseudogene","predicted gene, 37489 [Source:MGI Symbol;Acc:MGI:5610717]"
"68","ENSMUSG00000103629","Gm5694","1","processed_pseudogene","predicted gene 5694 [Source:MGI Symbol;Acc:MGI:3645764]"
"69","ENSMUSG00000120372","Gm57122","1","lncRNA","predicted gene, 57122 [Source:MGI Symbol;Acc:MGI:7338157]"
"70","ENSMUSG00000051285","Pcmtd1","1","protein_coding","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]"
"71","ENSMUSG00000098201","Gm26983","1","processed_pseudogene","predicted gene, 26983 [Source:MGI Symbol;Acc:MGI:5504098]"
"72","ENSMUSG00000103509","Gm38372","1","TEC","predicted gene, 38372 [Source:MGI Symbol;Acc:MGI:5611600]"
"73","ENSMUSG00000048538","Gm9826","1","processed_pseudogene","predicted gene 9826 [Source:MGI Symbol;Acc:MGI:3642725]"
"74","ENSMUSG00000103709","Nras-ps2","1","processed_pseudogene","neuroblastoma ras oncogene, pseudogene 2 [Source:MGI Symbol;Acc:MGI:97378]"
"75","ENSMUSG00000077244","Gm23274","1","snoRNA","predicted gene, 23274 [Source:MGI Symbol;Acc:MGI:5453051]"
"76","ENSMUSG00000102768","Gm19002","1","processed_pseudogene","predicted gene, 19002 [Source:MGI Symbol;Acc:MGI:5011187]"
"77","ENSMUSG00000097797","Gm26901","1","lncRNA","predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]"
"78","ENSMUSG00000103498","Gm18984","1","processed_pseudogene","predicted gene, 18984 [Source:MGI Symbol;Acc:MGI:5011169]"
"79","ENSMUSG00000103067","Gm30414","1","lncRNA","predicted gene, 30414 [Source:MGI Symbol;Acc:MGI:5589573]"
"80","ENSMUSG00000102320","Gm37791","1","processed_pseudogene","predicted gene, 37791 [Source:MGI Symbol;Acc:MGI:5611019]"
"81","ENSMUSG00000104226","Gm7470","1","processed_pseudogene","predicted gene 7470 [Source:MGI Symbol;Acc:MGI:3645544]"
"82","ENSMUSG00000103903","Rps2-ps2","1","processed_pseudogene","ribosomal protein S2, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3645546]"
"83","ENSMUSG00000103557","Gm38216","1","processed_pseudogene","predicted gene, 38216 [Source:MGI Symbol;Acc:MGI:5611444]"
"84","ENSMUSG00000025909","Sntg1","1","protein_coding","syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]"
"85","ENSMUSG00000102647","Gm38024","1","TEC","predicted gene, 38024 [Source:MGI Symbol;Acc:MGI:5611252]"
"86","ENSMUSG00000086235","Gm16284","1","processed_pseudogene","predicted gene 16284 [Source:MGI Symbol;Acc:MGI:3826541]"
"87","ENSMUSG00000102253","Gm38259","1","TEC","predicted gene, 38259 [Source:MGI Symbol;Acc:MGI:5611487]"
"88","ENSMUSG00002074990","Gm54704","1","miRNA","predicted gene, 54704 [Source:MGI Symbol;Acc:MGI:6845886]"
"89","ENSMUSG00000103884","Gm37005","1","TEC","predicted gene, 37005 [Source:MGI Symbol;Acc:MGI:5610233]"
"90","ENSMUSG00000084353","Gm15452","1","processed_pseudogene","predicted gene 15452 [Source:MGI Symbol;Acc:MGI:3768636]"
"91","ENSMUSG00000103933","Gm36964","1","processed_pseudogene","predicted gene, 36964 [Source:MGI Symbol;Acc:MGI:5610192]"
"92","ENSMUSG00002075967","Gm54706","1","miRNA","predicted gene, 54706 [Source:MGI Symbol;Acc:MGI:6845890]"
"93","ENSMUSG00000086195","Gm6152","1","processed_pseudogene","predicted gene 6152 [Source:MGI Symbol;Acc:MGI:3648859]"
"94","ENSMUSG00000104504","Gm7445","1","processed_pseudogene","predicted gene 7445 [Source:MGI Symbol;Acc:MGI:3644942]"
"95","ENSMUSG00000066693","Gm7493","1","processed_pseudogene","predicted gene 7493 [Source:MGI Symbol;Acc:MGI:3643471]"
"96","ENSMUSG00000102316","Gm37629","1","TEC","predicted gene, 37629 [Source:MGI Symbol;Acc:MGI:5610857]"
"97","ENSMUSG00000103819","Gm38008","1","processed_pseudogene","predicted gene, 38008 [Source:MGI Symbol;Acc:MGI:5611236]"
"98","ENSMUSG00000102871","Gm37143","1","TEC","predicted gene, 37143 [Source:MGI Symbol;Acc:MGI:5610371]"
"99","ENSMUSG00000101571","Gm6187","1","processed_pseudogene","predicted gene 6187 [Source:MGI Symbol;Acc:MGI:3648954]"
"100","ENSMUSG00000104428","Gm18299","1","processed_pseudogene","predicted gene, 18299 [Source:MGI Symbol;Acc:MGI:5010484]"
"101","ENSMUSG00000102272","Gm7512","1","processed_pseudogene","predicted gene 7512 [Source:MGI Symbol;Acc:MGI:3646401]"
"102","ENSMUSG00000065625","Gm24765","1","snRNA","predicted gene, 24765 [Source:MGI Symbol;Acc:MGI:5454542]"
"103","ENSMUSG00000103411","Gm18300","1","processed_pseudogene","predicted gene, 18300 [Source:MGI Symbol;Acc:MGI:5010485]"
"104","ENSMUSG00000061024","Rrs1","1","protein_coding","ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]"
"105","ENSMUSG00000025911","Adhfe1","1","protein_coding","alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]"
"106","ENSMUSG00000079671","2610203C22Rik","1","lncRNA","RIKEN cDNA 2610203C22 gene [Source:MGI Symbol;Acc:MGI:1919731]"
"107","ENSMUSG00000081441","Gm6161","1","processed_pseudogene","predicted gene 6161 [Source:MGI Symbol;Acc:MGI:3644104]"
"108","ENSMUSG00000067879","Vxn","1","protein_coding","vexin [Source:MGI Symbol;Acc:MGI:1924232]"
"109","ENSMUSG00000099827","Gm29520","1","lncRNA","predicted gene 29520 [Source:MGI Symbol;Acc:MGI:5580226]"
"110","ENSMUSG00000025912","Mybl1","1","protein_coding","myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]"
"111","ENSMUSG00000045210","Vcpip1","1","protein_coding","valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]"
"112","ENSMUSG00000097893","1700034P13Rik","1","lncRNA","RIKEN cDNA 1700034P13 gene [Source:MGI Symbol;Acc:MGI:1920581]"
"113","ENSMUSG00000025915","Sgk3","1","protein_coding","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]"
"114","ENSMUSG00000046334","Gm6195","1","processed_pseudogene","predicted pseudogene 6195 [Source:MGI Symbol;Acc:MGI:3647661]"
"115","ENSMUSG00002075801","Gm54812","1","snRNA","predicted gene, 54812 [Source:MGI Symbol;Acc:MGI:6846101]"
"116","ENSMUSG00000098234","Snhg6","1","lncRNA","small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074]"
"117","ENSMUSG00000046101","Mcmdc2","1","protein_coding","minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]"
"118","ENSMUSG00000093178","Snord87","1","snoRNA","small nucleolar RNA, C/D box 87 [Source:MGI Symbol;Acc:MGI:2387894]"
"119","ENSMUSG00000099032","Tcf24","1","protein_coding","transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500]"
"120","ENSMUSG00000104025","E330040D14Rik","1","TEC","RIKEN cDNA E330040D14 gene [Source:MGI Symbol;Acc:MGI:3649088]"
"121","ENSMUSG00000025916","Ppp1r42","1","protein_coding","protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]"
"122","ENSMUSG00000087199","Gm15818","1","lncRNA","predicted gene 15818 [Source:MGI Symbol;Acc:MGI:3801960]"
"123","ENSMUSG00000121270","Gm57177","1","lncRNA","predicted gene, 57177 [Source:MGI Symbol;Acc:MGI:7338267]"
"124","ENSMUSG00000119658","Gm24674","1","snRNA","predicted gene, 24674 [Source:MGI Symbol;Acc:MGI:5454451]"
"125","ENSMUSG00000025917","Cops5","1","protein_coding","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]"
"126","ENSMUSG00000056763","Cspp1","1","protein_coding","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"127","ENSMUSG00000102356","1700047N06Rik","1","TEC","RIKEN cDNA 1700047N06 gene [Source:MGI Symbol;Acc:MGI:1923853]"
"128","ENSMUSG00000067851","Arfgef1","1","protein_coding","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]"
"129","ENSMUSG00002076532","Gm54899","1","misc_RNA","predicted gene, 54899 [Source:MGI Symbol;Acc:MGI:6846273]"
"130","ENSMUSG00000102556","Gm37569","1","TEC","predicted gene, 37569 [Source:MGI Symbol;Acc:MGI:5610797]"
"131","ENSMUSG00000042501","Cpa6","1","protein_coding","carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]"
"132","ENSMUSG00000103810","Gm38005","1","TEC","predicted gene, 38005 [Source:MGI Symbol;Acc:MGI:5611233]"
"133","ENSMUSG00000083422","Gm15604","1","processed_pseudogene","predicted gene 15604 [Source:MGI Symbol;Acc:MGI:3783051]"
"134","ENSMUSG00000119312","Gm25253","1","snRNA","predicted gene, 25253 [Source:MGI Symbol;Acc:MGI:5455030]"
"135","ENSMUSG00000081417","Gm15603","1","processed_pseudogene","predicted gene 15603 [Source:MGI Symbol;Acc:MGI:3783050]"
"136","ENSMUSG00000103448","Gm37133","1","TEC","predicted gene, 37133 [Source:MGI Symbol;Acc:MGI:5610361]"
"137","ENSMUSG00000100212","Gm5522","1","processed_pseudogene","predicted gene 5522 [Source:MGI Symbol;Acc:MGI:3649087]"
"138","ENSMUSG00000100648","Gm28659","1","processed_pseudogene","predicted gene 28659 [Source:MGI Symbol;Acc:MGI:5579365]"
"139","ENSMUSG00002076499","Gm54912","1","snoRNA","predicted gene, 54912 [Source:MGI Symbol;Acc:MGI:6846299]"
"140","ENSMUSG00000048960","Prex2","1","protein_coding","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]"
"141","ENSMUSG00000077318","Gm24173","1","snoRNA","predicted gene, 24173 [Source:MGI Symbol;Acc:MGI:5453950]"
"142","ENSMUSG00000101827","Gm28686","1","processed_pseudogene","predicted gene 28686 [Source:MGI Symbol;Acc:MGI:5579392]"
"143","ENSMUSG00000103494","Gm37410","1","TEC","predicted gene, 37410 [Source:MGI Symbol;Acc:MGI:5610638]"
"144","ENSMUSG00000057715","A830018L16Rik","1","protein_coding","RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149]"
"145","ENSMUSG00000103825","Gm38178","1","TEC","predicted gene, 38178 [Source:MGI Symbol;Acc:MGI:5611406]"
"146","ENSMUSG00000099845","Gm29273","1","processed_pseudogene","predicted gene 29273 [Source:MGI Symbol;Acc:MGI:5579979]"
"147","ENSMUSG00000103561","Gm38069","1","TEC","predicted gene, 38069 [Source:MGI Symbol;Acc:MGI:5611297]"
"148","ENSMUSG00000101610","Gm7560","1","processed_pseudogene","predicted gene 7560 [Source:MGI Symbol;Acc:MGI:3648484]"
"149","ENSMUSG00000118923","Gm22633","1","snRNA","predicted gene, 22633 [Source:MGI Symbol;Acc:MGI:5452410]"
"150","ENSMUSG00000098555","Mir6341","1","miRNA","microRNA 6341 [Source:MGI Symbol;Acc:MGI:5530644]"
"151","ENSMUSG00000097628","Gm2383","1","processed_pseudogene","predicted gene 2383 [Source:MGI Symbol;Acc:MGI:3780551]"
"152","ENSMUSG00000098163","Gm6216","1","processed_pseudogene","predicted gene 6216 [Source:MGI Symbol;Acc:MGI:3647030]"
"153","ENSMUSG00000097171","Gm17644","1","lncRNA","predicted gene, 17644 [Source:MGI Symbol;Acc:MGI:4937278]"
"154","ENSMUSG00000101314","Gm29663","1","lncRNA","predicted gene 29663 [Source:MGI Symbol;Acc:MGI:5580369]"
"155","ENSMUSG00000016918","Sulf1","1","protein_coding","sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]"
"156","ENSMUSG00000025938","Slco5a1","1","protein_coding","solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]"
"157","ENSMUSG00000104518","Gm37162","1","TEC","predicted gene, 37162 [Source:MGI Symbol;Acc:MGI:5610390]"
"158","ENSMUSG00000069620","Gm5250","1","processed_pseudogene","predicted gene 5250 [Source:MGI Symbol;Acc:MGI:3647667]"
"159","ENSMUSG00000099498","Gm29283","1","lncRNA","predicted gene 29283 [Source:MGI Symbol;Acc:MGI:5579989]"
"160","ENSMUSG00000042414","Prdm14","1","protein_coding","PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]"
"161","ENSMUSG00000005886","Ncoa2","1","protein_coding","nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533]"
"162","ENSMUSG00000103506","Gm38376","1","TEC","predicted gene, 38376 [Source:MGI Symbol;Acc:MGI:5611604]"
"163","ENSMUSG00000103495","Gm37409","1","TEC","predicted gene, 37409 [Source:MGI Symbol;Acc:MGI:5610637]"
"164","ENSMUSG00002076346","Gm55160","1","miRNA","predicted gene, 55160 [Source:MGI Symbol;Acc:MGI:6846793]"
"165","ENSMUSG00000102639","Gm38223","1","TEC","predicted gene, 38223 [Source:MGI Symbol;Acc:MGI:5611451]"
"166","ENSMUSG00000104170","Gm37702","1","TEC","predicted gene, 37702 [Source:MGI Symbol;Acc:MGI:5610930]"
"167","ENSMUSG00000087782","Gm23169","1","snRNA","predicted gene, 23169 [Source:MGI Symbol;Acc:MGI:5452946]"
"168","ENSMUSG00000103085","Gm38120","1","TEC","predicted gene, 38120 [Source:MGI Symbol;Acc:MGI:5611348]"
"169","ENSMUSG00000102664","Gm38380","1","TEC","predicted gene, 38380 [Source:MGI Symbol;Acc:MGI:5611608]"
"170","ENSMUSG00000101476","Gm29570","1","lncRNA","predicted gene 29570 [Source:MGI Symbol;Acc:MGI:5580276]"
"171","ENSMUSG00000101171","Gm7593","1","processed_pseudogene","predicted gene 7593 [Source:MGI Symbol;Acc:MGI:3647262]"
"172","ENSMUSG00000025935","Tram1","1","protein_coding","translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]"
"173","ENSMUSG00000120948","Gm57152","1","lncRNA","predicted gene, 57152 [Source:MGI Symbol;Acc:MGI:7338217]"
"174","ENSMUSG00000025937","Lactb2","1","protein_coding","lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]"
"175","ENSMUSG00000102982","Gm38319","1","TEC","predicted gene, 38319 [Source:MGI Symbol;Acc:MGI:5611547]"
"176","ENSMUSG00000067813","Xkr9","1","protein_coding","X-linked Kx blood group related 9 [Source:MGI Symbol;Acc:MGI:2686466]"
"177","ENSMUSG00000077368","Gm26273","1","snoRNA","predicted gene, 26273 [Source:MGI Symbol;Acc:MGI:5456050]"
"178","ENSMUSG00000097711","Gm5523","1","processed_pseudogene","predicted pseudogene 5523 [Source:MGI Symbol;Acc:MGI:3649089]"
"179","ENSMUSG00000102166","Gm36947","1","TEC","predicted gene, 36947 [Source:MGI Symbol;Acc:MGI:5610175]"
"180","ENSMUSG00002075174","Gm55173","1","misc_RNA","predicted gene, 55173 [Source:MGI Symbol;Acc:MGI:6846819]"
"181","ENSMUSG00000104209","Gm37400","1","TEC","predicted gene, 37400 [Source:MGI Symbol;Acc:MGI:5610628]"
"182","ENSMUSG00000025932","Eya1","1","protein_coding","EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]"
"183","ENSMUSG00002075819","Gm55247","1","miRNA","predicted gene, 55247 [Source:MGI Symbol;Acc:MGI:6846966]"
"184","ENSMUSG00000102588","Gm37444","1","TEC","predicted gene, 37444 [Source:MGI Symbol;Acc:MGI:5610672]"
"185","ENSMUSG00000054493","Gm9947","1","lncRNA","predicted gene 9947 [Source:MGI Symbol;Acc:MGI:3642739]"
"186","ENSMUSG00000025930","Msc","1","protein_coding","musculin [Source:MGI Symbol;Acc:MGI:1333884]"
"187","ENSMUSG00000103492","Gm37412","1","TEC","predicted gene, 37412 [Source:MGI Symbol;Acc:MGI:5610640]"
"188","ENSMUSG00000081201","Smt3h2-ps4","1","processed_pseudogene","SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2149598]"
"189","ENSMUSG00000082193","Rpl5-ps1","1","processed_pseudogene","ribosomal protein L5, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3647110]"
"190","ENSMUSG00000032769","Trpa1","1","protein_coding","transient receptor potential cation channel, subfamily A, member 1 [Source:MGI Symbol;Acc:MGI:3522699]"
"191","ENSMUSG00000088159","Gm26345","1","snoRNA","predicted gene, 26345 [Source:MGI Symbol;Acc:MGI:5456122]"
"192","ENSMUSG00000073737","Gm10566","1","processed_pseudogene","predicted gene 10566 [Source:MGI Symbol;Acc:MGI:3642220]"
"193","ENSMUSG00000092083","Kcnb2","1","protein_coding","potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]"
"194","ENSMUSG00000102937","Gm38116","1","TEC","predicted gene, 38116 [Source:MGI Symbol;Acc:MGI:5611344]"
"195","ENSMUSG00000104149","Gm37138","1","TEC","predicted gene, 37138 [Source:MGI Symbol;Acc:MGI:5610366]"
"196","ENSMUSG00000088829","Gm25227","1","snoRNA","predicted gene, 25227 [Source:MGI Symbol;Acc:MGI:5455004]"
"197","ENSMUSG00000077377","Gm25168","1","snoRNA","predicted gene, 25168 [Source:MGI Symbol;Acc:MGI:5454945]"
"198","ENSMUSG00000101652","Gm6060","1","processed_pseudogene","predicted gene 6060 [Source:MGI Symbol;Acc:MGI:3648622]"
"199","ENSMUSG00000100814","Gm28669","1","processed_pseudogene","predicted gene 28669 [Source:MGI Symbol;Acc:MGI:5579375]"
"200","ENSMUSG00000025925","Terf1","1","protein_coding","telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634]"
"201","ENSMUSG00000104379","Gm37509","1","TEC","predicted gene, 37509 [Source:MGI Symbol;Acc:MGI:5610737]"
"202","ENSMUSG00000032719","Sbspon","1","protein_coding","somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]"
"203","ENSMUSG00002076565","Gm55274","1","misc_RNA","predicted gene, 55274 [Source:MGI Symbol;Acc:MGI:6847019]"
"204","ENSMUSG00000100652","Gm7634","1","processed_pseudogene","predicted gene 7634 [Source:MGI Symbol;Acc:MGI:3644198]"
"205","ENSMUSG00000067795","4930444P10Rik","1","protein_coding","RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049]"
"206","ENSMUSG00000043716","Rpl7","1","protein_coding","ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073]"
